,maker_num,model_num,detail_num,cost,exchange,repair
3,1,1,1,213559.0,"Bumper:coating,exchange","Bumper:coating,exchange"
4,1,1,1,548909.0,"Bumper:coating,exchange","Bumper:coating,exchange"
9,1,1,1,195199.0,"Bumper:coating,exchange","Bumper:coating,exchange"
17,1,1,1,735318.0,"Bumper:coating,exchange","Bumper:coating,exchange"
23,1,1,1,260200.0,Wheel:exchange,Wheel:exchange
27,1,1,1,421457.0,"Front bumper:repair;Bumper:coating,exchange","Front bumper:repair;Bumper:coating,exchange"
28,1,1,1,333059.0,"Bumper:coating,exchange","Bumper:coating,exchange"
30,1,1,1,852422.0,"Bumper:coating,exchange","Bumper:coating,exchange"
45,1,1,1,852422.0,"Bumper:coating,exchange","Bumper:coating,exchange"
47,1,1,1,333059.0,"Bumper:coating,exchange","Bumper:coating,exchange"
48,1,1,1,421457.0,"Front bumper:repair;Bumper:coating,exchange","Front bumper:repair;Bumper:coating,exchange"
52,1,1,1,260200.0,Wheel:exchange,Wheel:exchange
58,1,1,1,735318.0,"Bumper:coating,exchange","Bumper:coating,exchange"
64,1,1,64,225029.0,"Bumper:coating,exchange","Bumper:coating,exchange"
65,1,1,64,300649.0,"Bumper:coating,exchange","Bumper:coating,exchange"
69,1,1,64,350999.0,"Bumper:coating,exchange","Bumper:coating,exchange"
70,1,1,64,436619.0,"Bumper:coating,exchange","Bumper:coating,exchange"
71,1,1,64,566399.0,"Bumper:coating,exchange","Bumper:coating,exchange"
74,1,1,64,432909.0,"Bumper:coating,exchange","Bumper:coating,exchange"
75,1,1,64,432909.0,"Bumper:coating,exchange","Bumper:coating,exchange"
76,1,1,64,303849.0,"Bumper:coating,exchange","Bumper:coating,exchange"
77,1,1,64,930319.0,"Bumper:coating,exchange","Bumper:coating,exchange"
78,1,1,64,612539.0,"Bumper:coating,exchange","Bumper:coating,exchange"
79,1,1,64,404719.0,"Bumper:coating,exchange","Bumper:coating,exchange"
82,1,1,64,590829.0,"Bumper:coating,repair,exchange","Bumper:coating,repair,exchange"
